rho,type,service,distance,H_up_out,Q_g,V_g,m_energy,E_round_kWh,E_avail_kWh,binding
30,B,S015,6019.105634595292,388.7627990722656,30,0.073,30.0,2.53177,2.8,质量(Q_g)
30,C,S001,3063.407094930797,153.98289184570314,80,0.25,80.0,3.088819,5.6,质量(Q_g)
30,C,S002,7435.2682483091,219.1761596679688,80,0.25,51.3081,5.6,5.6,能量
30,C,S003,7261.065540953848,230.81068115234376,80,0.25,54.1519,5.6,5.6,能量
30,C,S004,7745.651742751971,166.76731567382814,80,0.25,45.7171,5.6,5.6,能量
30,C,S005,5302.0128076982855,91.33955078125,80,0.25,80.0,5.23518,5.6,质量(Q_g)
30,C,S006,3181.0289144316203,197.42722778320316,80,0.25,80.0,3.214203,5.6,质量(Q_g)
30,C,S007,4533.821635606341,236.5220458984375,80,0.25,80.0,4.630926,5.6,质量(Q_g)
30,C,S008,8109.461983662226,170.5891845703125,80,0.25,37.186,5.6,5.6,能量
30,C,S009,5722.672488722757,208.8618591308594,80,0.25,78.4575,5.6,5.6,能量
30,C,S010,4778.43330136777,243.8816650390625,80,0.25,80.0,4.822617,5.6,质量(Q_g)
30,C,S011,2817.14783394126,127.6607177734375,80,0.25,80.0,2.829391,5.6,质量(Q_g)
30,C,S012,7398.43934212781,249.92396240234376,80,0.25,51.8448,5.6,5.6,能量
30,C,S013,4848.700302599784,244.00806884765623,80,0.25,80.0,4.881592,5.6,质量(Q_g)
30,C,S014,5410.909620502695,243.2825134277344,80,0.25,80.0,5.428319,5.6,质量(Q_g)
30,C,S015,6019.105634595292,388.7627990722656,80,0.25,73.2778,5.6,5.6,能量
