pattern_id,class_id,count,delivery_offset_s
P000196,C001,1,879.3587719896758
P000196,C007,1,1501.5976090067682
P000197,C001,1,1880.4109774198039
P000197,C007,1,1255.8054737360449
P000198,C001,1,909.3587719896758
P000198,C007,1,1561.5976090067682
P000198,C011,1,1561.5976090067682
P000199,C001,1,1940.4109774198039
P000199,C007,1,1315.8054737360449
P000199,C011,1,1315.8054737360449
P000200,C001,1,909.3587719896758
P000200,C007,1,1561.5976090067682
P000200,C010,1,1561.5976090067682
P000201,C001,1,1940.4109774198039
P000201,C007,1,1315.8054737360449
P000201,C010,1,1315.8054737360449
P000202,C001,1,909.3587719896758
P000202,C007,1,1561.5976090067682
P000202,C009,1,1561.5976090067682
P000203,C001,1,1940.4109774198039
P000203,C007,1,1315.8054737360449
P000203,C009,1,1315.8054737360449
P000204,C001,1,909.3587719896758
P000204,C007,1,1561.5976090067682
P000204,C008,1,1561.5976090067682
P000205,C001,1,1940.4109774198039
P000205,C007,1,1315.8054737360449
P000205,C008,1,1315.8054737360449
P000206,C001,1,939.3587719896758
P000206,C006,1,939.3587719896758
P000206,C007,1,1561.5976090067682
P000207,C001,1,1940.4109774198039
P000207,C006,1,1940.4109774198039
P000207,C007,1,1285.8054737360449
P000208,C001,1,939.3587719896758
P000208,C005,1,939.3587719896758
P000208,C007,1,1561.5976090067682
P000209,C001,1,1940.4109774198039
P000209,C005,1,1940.4109774198039
P000209,C007,1,1285.8054737360449
P000210,C001,1,939.3587719896758
P000210,C004,1,939.3587719896758
P000210,C007,1,1561.5976090067682
P000211,C001,1,1940.4109774198039
P000211,C004,1,1940.4109774198039
P000211,C007,1,1285.8054737360449
P000212,C001,1,939.3587719896758
P000212,C003,1,939.3587719896758
P000212,C007,1,1561.5976090067682
P000213,C001,1,1940.4109774198039
P000213,C003,1,1940.4109774198039
P000213,C007,1,1285.8054737360449
P000214,C001,1,939.3587719896758
P000214,C002,1,939.3587719896758
P000214,C011,1,1561.5976090067682
P000215,C001,1,1940.4109774198039
P000215,C002,1,1940.4109774198039
P000215,C011,1,1285.8054737360449
P000216,C001,1,939.3587719896758
P000216,C002,1,939.3587719896758
P000216,C010,1,1561.5976090067682
P000217,C001,1,1940.4109774198039
P000217,C002,1,1940.4109774198039
P000217,C010,1,1285.8054737360449
P000218,C001,1,939.3587719896758
P000218,C002,1,939.3587719896758
P000218,C009,1,1561.5976090067682
P000219,C001,1,1940.4109774198039
P000219,C002,1,1940.4109774198039
P000219,C009,1,1285.8054737360449
