from,to,distance_old,h_max_old,cruise_height_old,climb_height_old,descent_height_old,distance_new,h_max_new,cruise_height_new,climb_height_new,descent_height_new,delta_h_max,delta_cruise_height
S002,S003,9766.52585318764,308.5106811523437,358.5106811523437,139.01068115234375,20.01068115234375,9766.52585318764,571.1314086914062,621.1314086914062,401.6314086914063,282.63140869140625,262.62072753906256,262.62072753906256
S002,S004,2246.1060981727182,271.2457275390625,321.2457275390625,101.7457275390625,92.94572753906247,2246.1060981727182,283.658203125,333.658203125,114.158203125,105.358203125,12.4124755859375,12.4124755859375
S002,S005,3474.1318201907675,258.9542541503906,308.9542541503906,89.45425415039062,113.95425415039062,3474.1318201907675,356.79864501953125,406.7986450195313,187.29864501953125,211.79864501953125,97.84439086914062,97.84439086914068
S002,S006,9199.75149792535,517.8421020507812,567.8421020507812,348.34210205078125,253.04210205078124,9199.75149792535,344.2987060546875,394.2987060546875,174.7987060546875,79.49870605468749,-173.54339599609375,-173.54339599609375
S002,S007,8119.467045487778,314.2220458984375,364.2220458984375,144.7220458984375,15.7220458984375,8119.467045487778,424.7281799316406,474.7281799316406,255.22817993164065,126.22817993164062,110.50613403320312,110.50613403320312
S002,S008,4795.75091995656,259.3684387207031,309.3684387207031,89.86843872070312,38.46843872070315,4795.75091995656,331.8424987792969,381.8424987792969,162.34249877929688,110.9424987792969,72.47406005859375,72.47406005859375
S002,S009,1730.8827143173448,207.42649841308597,257.42649841308594,37.92649841308594,27.426498413085938,1730.8827143173448,278.2866516113281,328.2866516113281,108.78665161132812,98.28665161132812,70.86015319824216,70.86015319824219
S002,S010,5938.017877533433,327.08203125,377.08203125,157.58203125,25.482031249999977,5938.017877533433,441.85394287109375,491.85394287109375,272.3539428710937,140.25394287109373,114.77191162109375,114.77191162109375
S002,S011,5790.086452584073,311.78533935546875,361.7853393554688,142.28533935546875,149.68533935546876,5790.086452584073,311.78533935546875,361.7853393554688,142.28533935546875,149.68533935546876,0.0,0.0
S002,S012,3071.997266634248,285.02691650390625,335.02691650390625,115.52691650390624,55.22691650390624,3071.997266634248,358.1782531738281,408.1782531738281,188.67825317382807,128.3782531738281,73.15133666992188,73.15133666992188
S002,S013,4556.4253269828,321.70806884765625,371.70806884765625,152.20806884765625,20.00806884765626,4556.4253269828,327.2103271484375,377.2103271484375,157.7103271484375,25.51032714843751,5.50225830078125,5.50225830078125
S002,S014,7680.86897763051,360.494384765625,410.494384765625,190.994384765625,59.494384765625,7680.86897763051,457.5832214355469,507.5832214355469,288.0832214355469,156.58322143554688,97.08883666992188,97.08883666992188
S002,S015,7156.956228405488,436.229248046875,486.229248046875,266.729248046875,11.729248046875,7156.956228405488,593.7526245117188,643.7526245117188,424.2526245117188,169.25262451171875,157.52337646484375,157.52337646484375
S003,O01,7261.065540953848,539.3092651367188,589.3092651367188,250.80926513671875,461.6092651367188,7261.065540953848,511.80413818359375,561.8041381835938,223.30413818359372,434.10413818359376,-27.505126953125,-27.505126953125
S003,S001,7646.659009326058,308.5106811523437,358.5106811523437,20.01068115234375,174.51068115234375,7646.659009326058,505.94439697265625,555.9443969726562,217.44439697265625,371.94439697265625,197.43371582031256,197.43371582031256
S003,S002,9766.52585318764,672.2648315429688,722.2648315429688,383.7648315429688,502.7648315429688,9766.52585318764,571.1314086914062,621.1314086914062,282.63140869140625,401.6314086914063,-101.1334228515625,-101.1334228515625
S003,S004,8230.547637960408,701.016845703125,751.016845703125,412.516845703125,522.716845703125,8230.547637960408,674.2682495117188,724.2682495117188,385.7682495117188,495.96824951171874,-26.74859619140625,-26.74859619140625
S003,S005,6332.68305025165,547.7522583007812,597.7522583007812,259.25225830078125,402.7522583007813,6332.68305025165,533.8880615234375,583.8880615234375,245.3880615234375,388.8880615234375,-13.86419677734375,-13.86419677734375
S003,S006,4808.568012109442,508.9108581542969,558.9108581542969,220.41085815429688,244.1108581542969,4808.568012109442,612.3626708984375,662.3626708984375,323.8626708984375,347.5626708984375,103.45181274414062,103.45181274414062
