task_id,tau,x,y,z,phase,node
R000003,676.6115551928008,109.2432319,23.0335927,256.6828918457031,descend,S001
R000003,686.6115551928008,109.2432319,23.0335927,231.68289184570312,descend,S001
R000003,696.6115551928008,109.2432319,23.0335927,206.68289184570312,descend,S001
R000003,705.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,715.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,725.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,735.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,745.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,755.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,765.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,775.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,785.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,795.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,805.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,815.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,825.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,835.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,845.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,855.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,865.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,875.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,885.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,895.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,905.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000003,915.684711931082,109.2432319,23.0335927,184.0,climb,S001
R000003,925.684711931082,109.2432319,23.0335927,214.0,climb,S001
R000003,935.684711931082,109.2432319,23.0335927,244.0,climb,S001
R000003,936.6032859463814,109.2432319,23.0335927,246.75572204589844,cruise,
R000003,946.6032859463814,109.2427469419275,23.03261013911053,246.75572204589844,cruise,
R000003,956.6032859463814,109.24226198385503,23.031627578221062,246.75572204589844,cruise,
R000003,966.6032859463814,109.24177702578254,23.030645017331594,246.75572204589844,cruise,
R000003,976.6032859463814,109.24129206771005,23.029662456442125,246.75572204589844,cruise,
R000003,986.6032859463814,109.24080710963756,23.028679895552656,246.75572204589844,cruise,
R000003,996.6032859463814,109.24032215156508,23.027697334663188,246.75572204589844,cruise,
R000003,1006.6032859463814,109.23983719349259,23.02671477377372,246.75572204589844,cruise,
R000003,1016.6032859463814,109.2393522354201,23.02573221288425,246.75572204589844,cruise,
R000003,1026.6032859463814,109.23886727734762,23.02474965199478,246.75572204589844,cruise,
R000003,1036.6032859463814,109.23838231927513,23.023767091105313,246.75572204589844,cruise,
R000003,1046.6032859463814,109.23789736120264,23.022784530215844,246.75572204589844,cruise,
R000003,1056.6032859463814,109.23741240313016,23.021801969326376,246.75572204589844,cruise,
R000003,1066.6032859463814,109.23692744505767,23.020819408436907,246.75572204589844,cruise,
R000003,1076.6032859463814,109.23644248698518,23.019836847547438,246.75572204589844,cruise,
R000003,1086.6032859463814,109.23595752891269,23.01885428665797,246.75572204589844,cruise,
R000003,1096.6032859463814,109.23547257084022,23.0178717257685,246.75572204589844,cruise,
R000003,1106.6032859463814,109.23498761276772,23.016889164879032,246.75572204589844,cruise,
R000003,1116.6032859463814,109.23450265469523,23.015906603989563,246.75572204589844,cruise,
R000003,1126.6032859463814,109.23401769662276,23.014924043100095,246.75572204589844,cruise,
R000003,1136.6032859463814,109.23353273855027,23.013941482210626,246.75572204589844,cruise,
R000003,1146.6032859463814,109.23304778047778,23.012958921321157,246.75572204589844,cruise,
R000003,1156.6032859463814,109.2325628224053,23.01197636043169,246.75572204589844,cruise,
R000003,1166.6032859463814,109.23207786433281,23.01099379954222,246.75572204589844,cruise,
R000003,1176.6032859463814,109.23159290626032,23.010011238652748,246.75572204589844,cruise,
R000003,1186.6032859463814,109.23110794818783,23.00902867776328,246.75572204589844,cruise,
R000003,1191.887210523948,109.2308517,23.0085095,246.75572204589844,descend,O01
R000003,1201.887210523948,109.2308517,23.0085095,221.75572204589844,descend,O01
R000003,1211.887210523948,109.2308517,23.0085095,196.75572204589844,descend,O01
R000003,1221.887210523948,109.2308517,23.0085095,171.75572204589844,descend,O01
R000003,1231.887210523948,109.2308517,23.0085095,146.75572204589844,descend,O01
R000003,1239.5094993423072,109.2308517,23.0085095,127.7,descend,O01
R000004,0.0,109.2308517,23.0085095,127.7,setup,O01
R000004,10.0,109.2308517,23.0085095,127.7,setup,O01
R000004,20.0,109.2308517,23.0085095,127.7,setup,O01
R000004,30.0,109.2308517,23.0085095,127.7,setup,O01
R000004,40.0,109.2308517,23.0085095,127.7,setup,O01
R000004,50.0,109.2308517,23.0085095,127.7,setup,O01
R000004,60.0,109.2308517,23.0085095,127.7,setup,O01
R000004,70.0,109.2308517,23.0085095,127.7,setup,O01
R000004,80.0,109.2308517,23.0085095,127.7,setup,O01
R000004,90.0,109.2308517,23.0085095,127.7,setup,O01
R000004,100.0,109.2308517,23.0085095,127.7,setup,O01
R000004,110.0,109.2308517,23.0085095,127.7,setup,O01
R000004,120.0,109.2308517,23.0085095,127.7,setup,O01
R000004,130.0,109.2308517,23.0085095,127.7,setup,O01
R000004,140.0,109.2308517,23.0085095,127.7,setup,O01
R000004,150.0,109.2308517,23.0085095,127.7,setup,O01
R000004,160.0,109.2308517,23.0085095,127.7,setup,O01
R000004,170.0,109.2308517,23.0085095,127.7,setup,O01
R000004,180.0,109.2308517,23.0085095,127.7,setup,O01
