type,service,N_f,E_total,T_total,batch_idx,n_boxes,mass,volume,energy_kWh,time_s
A,S004,4,12.274680164209638,8615.83760389194,1,2,22.0,0.055,3.203366220355213,2183.959400972985
A,S004,4,12.274680164209638,8615.83760389194,3,1,14.0,0.027,3.0470091478074686,2123.959400972985
A,S004,4,12.274680164209638,8615.83760389194,6,1,14.0,0.027,3.0470091478074686,2123.959400972985
A,S005,4,8.435535552989364,6663.032418673857,12,2,9.0,0.047,2.0460424831546757,1695.7581046684643
A,S005,4,8.435535552989364,6663.032418673857,1,2,22.0,0.055,2.2014564651560833,1695.7581046684643
A,S005,4,8.435535552989364,6663.032418673857,3,1,14.0,0.027,2.094018302339303,1635.7581046684643
A,S005,4,8.435535552989364,6663.032418673857,6,1,14.0,0.027,2.094018302339303,1635.7581046684643
A,S006,4,5.184755504490798,5130.45993383983,12,2,9.0,0.047,1.2558925819390496,1312.6149834599576
A,S006,4,5.184755504490798,5130.45993383983,1,2,22.0,0.055,1.354999454410149,1312.6149834599576
A,S006,4,5.184755504490798,5130.45993383983,3,1,14.0,0.027,1.2869317340707995,1252.6149834599576
A,S006,4,5.184755504490798,5130.45993383983,6,1,14.0,0.027,1.2869317340707995,1252.6149834599576
A,S007,3,5.670203960448596,5121.952788018014,9,2,9.0,0.047,1.827226616519499,1727.3175960060048
A,S007,3,5.670203960448596,5121.952788018014,1,2,22.0,0.055,1.9706696366234688,1727.3175960060048
A,S007,3,5.670203960448596,5121.952788018014,3,1,14.0,0.027,1.8723077073056285,1667.3175960060048
A,S008,3,9.564047428315565,6468.612053842832,9,2,9.0,0.047,3.085653920531505,2176.2040179476107
A,S008,3,9.564047428315565,6468.612053842832,1,2,22.0,0.055,3.320471468312056,2176.2040179476107
A,S008,3,9.564047428315565,6468.612053842832,3,1,14.0,0.027,3.1579220394720044,2116.2040179476107
A,S009,2,4.4152842411850015,3323.0689724778986,4,2,11.0,0.04,2.1915142663338063,1691.5344862389493
A,S009,2,4.4152842411850015,3323.0689724778986,0,1,14.0,0.027,2.223769974851195,1631.5344862389493
A,S010,2,3.809303274792187,3247.7049383465483,4,2,11.0,0.04,1.8902213604031441,1653.8524691732741
A,S010,2,3.809303274792187,3247.7049383465483,0,1,14.0,0.027,1.919081914389043,1593.8524691732741
A,S011,2,2.2549882554713516,2387.0704270689616,4,2,11.0,0.04,1.1190655088410852,1223.5352135344808
A,S011,2,2.2549882554713516,2387.0704270689616,0,1,14.0,0.027,1.1359227466302664,1163.5352135344808
A,S012,2,5.780346194414635,4160.829365670207,4,2,11.0,0.04,2.8689160516355905,2110.4146828351036
