pattern_id,gap_id,gap_index,tau_start,tau_end,duration_s,coverage_start,coverage_end,coverage_duration_s,n_outage_samples,before_tau,before_direct,before_x,before_y,before_z,before_phase,before_node,before_margin_db,after_tau,after_direct,after_x,after_y,after_z,after_phase,after_node,after_margin_db
P003969,PG002847,2,1199.231,1900.467,701.236,1189.231,1900.467,711.236,71,1189.231,1,109.22718241427184,23.05776777521336,366.78717041015625,cruise,,7.147219742190757,1900.467,1,109.22078425598859,23.04799176386863,372.9093322753906,cruise,,8.85240915902888
P003970,PG002848,1,791.736,1515.133,723.397,781.736,1515.133,733.397,75,781.736,1,109.22147513467998,23.045282292153264,372.9093322753906,cruise,,9.468262821122252,1515.133,1,109.22726816327786,23.057638612902196,366.78717041015625,cruise,,7.170824020288308
P003970,PG002849,2,1545.133,1615.133,70.0,1535.133,1615.133,80.0,7,1535.133,1,109.22879668572816,23.05533622478664,366.78717041015625,cruise,,7.599452376317572,1615.133,1,109.23491077552936,23.046126672324405,366.78717041015625,cruise,,9.461950982763199
P003971,PG002850,1,1099.231,1169.231,70.0,1089.231,1169.231,80.0,7,1089.231,1,109.23482502652334,23.04625583463557,366.78717041015625,cruise,,9.434304197003115,1169.231,1,109.22871093672214,23.055465387097804,366.78717041015625,cruise,,7.575009801700304
P003971,PG002851,2,1199.231,1900.467,701.236,1189.231,1900.467,711.236,71,1189.231,1,109.22718241427184,23.05776777521336,366.78717041015625,cruise,,7.147219742190757,1900.467,1,109.22078425598859,23.04799176386863,372.9093322753906,cruise,,8.85240915902888
P003972,PG002852,1,791.736,1515.133,723.397,781.736,1515.133,733.397,75,781.736,1,109.22147513467998,23.045282292153264,372.9093322753906,cruise,,9.468262821122252,1515.133,1,109.22726816327786,23.057638612902196,366.78717041015625,cruise,,7.170824020288308
P003972,PG002853,2,1545.133,1615.133,70.0,1535.133,1615.133,80.0,7,1535.133,1,109.22879668572816,23.05533622478664,366.78717041015625,cruise,,7.599452376317572,1615.133,1,109.23491077552936,23.046126672324405,366.78717041015625,cruise,,9.461950982763199
P003973,PG002854,1,1129.231,1199.231,70.0,1119.231,1199.231,80.0,7,1119.231,1,109.23482502652334,23.04625583463557,366.78717041015625,cruise,,9.434304197003115,1199.231,1,109.22871093672214,23.055465387097804,366.78717041015625,cruise,,7.575009801700304
P003973,PG002855,2,1229.231,1900.467,671.236,1219.231,1900.467,681.236,68,1219.231,1,109.22718241427184,23.05776777521336,366.78717041015625,cruise,,7.147219742190757,1900.467,1,109.22078425598859,23.04799176386863,372.9093322753906,cruise,,8.85240915902888
P003974,PG002856,1,1129.231,1199.231,70.0,1119.231,1199.231,80.0,7,1119.231,1,109.23482502652334,23.04625583463557,366.78717041015625,cruise,,9.434304197003115,1199.231,1,109.22871093672214,23.055465387097804,366.78717041015625,cruise,,7.575009801700304
P003974,PG002857,2,1229.231,1900.467,671.236,1219.231,1900.467,681.236,68,1219.231,1,109.22718241427184,23.05776777521336,366.78717041015625,cruise,,7.147219742190757,1900.467,1,109.22078425598859,23.04799176386863,372.9093322753906,cruise,,8.85240915902888
P003975,PG002858,1,1129.231,1199.231,70.0,1119.231,1199.231,80.0,7,1119.231,1,109.23482502652334,23.04625583463557,366.78717041015625,cruise,,9.434304197003115,1199.231,1,109.22871093672214,23.055465387097804,366.78717041015625,cruise,,7.575009801700304
