state_id,candidate_id,access_margin_db,relay_g01_margin_db,two_hop_margin_db
OS005490,RP003070,8.475772832953254,8.96249387360254,8.475772832953254
OS005491,RP003070,8.567400557364522,8.96249387360254,8.567400557364522
OS005492,RP003070,8.646420077280865,8.96249387360254,8.646420077280865
OS005493,RP003070,8.712098328357087,8.96249387360254,8.712098328357087
OS005494,RP003070,8.763801768559816,8.96249387360254,8.763801768559816
OS005495,RP003070,8.801015671668637,8.96249387360254,8.801015671668637
OS005496,RP003070,8.823360620992048,8.96249387360254,8.823360620992048
OS008485,RP003070,0.756509320784815,8.96249387360254,0.756509320784815
OS008486,RP003070,1.4979963556299936,8.96249387360254,1.4979963556299936
OS008487,RP003070,2.307294604683136,8.96249387360254,2.307294604683136
OS008488,RP003070,3.1976979532293512,8.96249387360254,3.1976979532293512
OS008489,RP003070,4.186674178986323,8.96249387360254,4.186674178986323
OS008490,RP003070,5.297702279971844,8.96249387360254,5.297702279971844
OS008491,RP003070,6.563119959828924,8.96249387360254,6.563119959828924
OS008492,RP003070,8.028513644993225,8.96249387360254,8.028513644993225
OS008493,RP003070,9.75892675510049,8.96249387360254,8.96249387360254
OS008494,RP003070,11.843623396663546,8.96249387360254,8.96249387360254
OS008495,RP003070,14.370458736523844,8.96249387360254,8.96249387360254
OS008496,RP003070,17.178844684908398,8.96249387360254,8.96249387360254
OS008497,RP003070,18.799158049869533,8.96249387360254,8.96249387360254
OS008498,RP003070,17.289015666389545,8.96249387360254,8.96249387360254
OS008499,RP003070,14.485943869419216,8.96249387360254,8.96249387360254
OS008500,RP003070,11.940228142508786,8.96249387360254,8.96249387360254
OS008501,RP003070,9.838473846689027,8.96249387360254,8.96249387360254
OS008502,RP003070,8.691600695429017,8.96249387360254,8.691600695429017
OS008503,RP003070,8.6462731090827,8.96249387360254,8.6462731090827
OS008504,RP003070,8.595014637963928,8.96249387360254,8.595014637963928
OS008505,RP003070,8.53803847919319,8.96249387360254,8.53803847919319
OS008506,RP003070,8.475574760899221,8.96249387360254,8.475574760899221
OS008507,RP003070,8.407867717544576,8.96249387360254,8.407867717544576
OS008508,RP003070,8.335172854938989,8.96249387360254,8.335172854938989
OS008509,RP003070,8.257754164211917,8.96249387360254,8.257754164211917
OS008510,RP003070,8.175881436772698,8.96249387360254,8.175881436772698
OS009462,RP003070,8.133621840897618,8.96249387360254,8.133621840897618
OS009463,RP003070,8.23793865524216,8.96249387360254,8.23793865524216
OS009464,RP003070,8.335401267871845,8.96249387360254,8.335401267871845
OS009465,RP003070,8.425482053132114,8.96249387360254,8.425482053132114
OS009466,RP003070,8.507667598867243,8.96249387360254,8.507667598867243
OS009467,RP003070,8.58146693193956,8.96249387360254,8.58146693193956
OS009468,RP003070,8.646420077280865,8.96249387360254,8.646420077280865
OS009469,RP003070,8.702106689590337,8.96249387360254,8.702106689590337
OS009470,RP003070,8.713032721268334,8.96249387360254,8.713032721268334
OS009471,RP003070,10.39491623767708,8.96249387360254,8.96249387360254
OS009472,RP003070,12.249779538672229,8.96249387360254,8.96249387360254
OS009473,RP003070,14.058717524927161,8.96249387360254,8.96249387360254
OS009474,RP003070,15.167199699674853,8.96249387360254,8.96249387360254
OS009475,RP003070,14.811392413521503,8.96249387360254,8.96249387360254
OS009476,RP003070,13.272577132038165,8.96249387360254,8.96249387360254
OS009477,RP003070,11.39310176248759,8.96249387360254,8.96249387360254
OS009478,RP003070,9.606126347092484,8.96249387360254,8.96249387360254
OS009479,RP003070,8.016913271605844,8.96249387360254,8.016913271605844
OS009480,RP003070,6.621438062928277,8.96249387360254,6.621438062928277
OS009481,RP003070,5.3914722344409824,8.96249387360254,5.3914722344409824
OS009482,RP003070,4.298229821130505,8.96249387360254,4.298229821130505
OS009483,RP003070,3.3175489036965473,8.96249387360254,3.3175489036965473
OS009484,RP003070,2.430166422389206,8.96249387360254,2.430166422389206
OS009485,RP003070,1.6208968376990924,8.96249387360254,1.6208968376990924
OS009486,RP003070,0.8777314261677702,8.96249387360254,0.8777314261677702
OS009513,RP003070,8.133621840897618,8.96249387360254,8.133621840897618
OS009514,RP003070,8.23793865524216,8.96249387360254,8.23793865524216
OS009515,RP003070,8.335401267871845,8.96249387360254,8.335401267871845
OS009516,RP003070,8.425482053132114,8.96249387360254,8.425482053132114
OS009517,RP003070,8.507667598867243,8.96249387360254,8.507667598867243
