task_id,uav_type,n_stops,visit_order,duration_s,energy_kWh,latest_start_s,direct_time_s,outage_time_s,outage_ratio,gap_count,max_gap_s,min_margin_db,needs_relay
R000112,A,1,S015,1970.2098469768198,2.3959634179615277,5941.5,1337.2649234884097,632.94492348841,0.32125761855247537,1,632.94492348841,-3.666371127136273,1
R000113,A,1,S015,1970.2098469768198,2.475738504082244,5941.5,1337.2649234884097,632.94492348841,0.32125761855247537,1,632.94492348841,-3.666371127136273,1
R000114,B,1,S001,1090.3573074816584,0.9536714133213035,,1090.3573074816584,0,0.0,0,0.0,2.2144147110676613,0
R000115,B,1,S001,1150.3573074816584,0.9927462429280283,,1150.3573074816584,0,0.0,0,0.0,2.2144147110676613,0
R000116,B,1,S001,1090.3573074816584,0.9647749218029644,,1090.3573074816584,0,0.0,0,0.0,2.2144147110676613,0
R000117,B,1,S001,1150.3573074816584,1.0098817313821373,,1150.3573074816584,0,0.0,0,0.0,2.2144147110676613,0
R000118,B,1,S001,1150.3573074816584,1.0294173470117374,,1150.3573074816584,0,0.0,0,0.0,2.2144147110676613,0
R000119,B,1,S001,1090.3573074816584,1.0098817313821373,2801.7,1090.3573074816584,0,0.0,0,0.0,2.2144147110676613,0
R000120,B,1,S001,1150.3573074816584,1.0770845709208954,2741.7,1150.3573074816584,0,0.0,0,0.0,2.2144147110676613,0
R000121,B,1,S001,1150.3573074816584,1.1061855138834067,2741.7,1150.3573074816584,0,0.0,0,0.0,2.2144147110676613,0
R000122,B,1,S001,1150.3573074816584,1.2239597072836312,2741.7,1150.3573074816584,0,0.0,0,0.0,2.2144147110676613,0
R000123,B,1,S001,1090.3573074816584,0.9405893653118222,2801.7,1090.3573074816584,0,0.0,0,0.0,2.2144147110676613,0
R000124,B,1,S001,1150.3573074816584,0.9710308773692453,2741.7,1150.3573074816584,0,0.0,0,0.0,2.2144147110676613,0
R000125,B,1,S001,1150.3573074816584,0.98499963410779,2741.7,1150.3573074816584,0,0.0,0,0.0,2.2144147110676613,0
R000126,B,1,S001,1210.3573074816584,1.0639567879671474,2681.7,1210.3573074816584,0,0.0,0,0.0,2.2144147110676613,0
R000127,B,1,S001,1150.3573074816584,1.0401830080296461,2741.7,1150.3573074816584,0,0.0,0,0.0,2.2144147110676613,0
R000128,B,1,S001,1210.3573074816584,1.1583766842339946,2681.7,1210.3573074816584,0,0.0,0,0.0,2.2144147110676613,0
R000129,B,1,S001,1150.3573074816584,0.9536714133213035,2741.7,1150.3573074816584,0,0.0,0,0.0,2.2144147110676613,0
R000130,B,1,S001,1210.3573074816584,0.9927462429280283,2681.7,1210.3573074816584,0,0.0,0,0.0,2.2144147110676613,0
R000131,B,1,S001,1210.3573074816584,1.0098817313821373,2681.7,1210.3573074816584,0,0.0,0,0.0,2.2144147110676613,0
R000132,B,1,S001,1210.3573074816584,1.0770845709208954,2681.7,1210.3573074816584,0,0.0,0,0.0,2.2144147110676613,0
R000133,B,1,S002,1699.8886725284528,2.23741364001433,,988.6043362642264,711.2843362642265,0.4184299523604955,1,711.2843362642265,-5.48219992618948,1
R000134,B,1,S002,1699.8886725284528,2.263064735098496,,988.6043362642264,711.2843362642265,0.4184299523604955,1,711.2843362642265,-5.48219992618948,1
