state_id,x,y,z,phase,node,direct,state_kind
BS000051,109.237127815,23.042807572,316.138,cruise,,1,boundary
BS000052,109.236846019,23.043232979,316.138,cruise,,1,boundary
BS000053,109.201186015,23.030111367,439.175354,cruise,,1,boundary
BS000054,109.200994689,23.030095526,439.175354,cruise,,1,boundary
BS000055,109.226809607,23.058329329,366.78717,cruise,,1,boundary
BS000056,109.228643833,23.055566464,366.78717,cruise,,1,boundary
BS000057,109.234757923,23.046356911,366.78717,cruise,,1,boundary
BS000058,109.235283583,23.045565118,366.78717,cruise,,1,boundary
BS000059,109.228558084,23.055695626,366.78717,cruise,,1,boundary
BS000060,109.227335267,23.057537536,366.78717,cruise,,1,boundary
BS000061,109.246678231,23.040449099,293.228912,cruise,,1,boundary
BS000062,109.246757406,23.040606616,293.228912,cruise,,1,boundary
BS000063,109.265515016,23.023946872,431.079681,cruise,,1,boundary
BS000064,109.265405793,23.023994152,431.079681,cruise,,1,boundary
BS000065,109.259545129,23.042125178,435.599609,cruise,,1,boundary
BS000066,109.259685434,23.042198563,435.599609,cruise,,1,boundary
BS000067,109.259573047,23.032138935,378.360809,cruise,,1,boundary
BS000068,109.258544427,23.032230444,378.360809,cruise,,1,boundary
BS000069,109.268389005,23.015903132,600.050415,cruise,,1,boundary
BS000070,109.267756941,23.016347576,600.050415,cruise,,1,boundary
BS000071,109.208800968,23.044332355,597.315186,cruise,,1,boundary
BS000072,109.207928053,23.044604633,597.315186,cruise,,1,boundary
BS000073,109.230339043,23.057090328,406.798645,cruise,,1,boundary
BS000074,109.2283003,23.0561338,356.798645,descend,S005,1,boundary
BS000075,109.2283003,23.0561338,375.0,climb,S005,1,boundary
BS000076,109.230390141,23.057114302,406.798645,cruise,,1,boundary
BS000077,109.271781472,23.031750766,491.853943,cruise,,1,boundary
BS000078,109.269310863,23.038954855,491.853943,cruise,,1,boundary
BS000079,109.265781423,23.049246411,491.853943,cruise,,1,boundary
BS000080,109.264016703,23.054392188,491.853943,cruise,,1,boundary
BS000081,109.262787228,23.057977234,491.853943,cruise,,1,boundary
BS000082,109.264199005,23.053860611,491.853943,cruise,,1,boundary
BS000083,109.266316669,23.047685678,491.853943,cruise,,1,boundary
BS000084,109.269493165,23.038423278,491.853943,cruise,,1,boundary
BS000085,109.271610829,23.032248345,491.853943,cruise,,1,boundary
BS000086,109.237958968,23.049633026,361.785339,cruise,,1,boundary
BS000087,109.234790825,23.046449322,361.785339,cruise,,1,boundary
BS000088,109.231622681,23.043265618,361.785339,cruise,,1,boundary
BS000089,109.232216138,23.043861989,361.785339,cruise,,1,boundary
BS000090,109.235384281,23.047045693,361.785339,cruise,,1,boundary
BS000091,109.237760389,23.049433471,361.785339,cruise,,1,boundary
BS000092,109.18969552,23.018334313,662.362671,cruise,,1,boundary
BS000093,109.189750624,23.018276301,662.362671,cruise,,1,boundary
BS000094,109.205814691,23.034277997,535.422302,cruise,,1,boundary
BS000095,109.205321863,23.03435792,535.422302,cruise,,1,boundary
BS000096,109.228664396,23.056934485,365.80658,cruise,,1,boundary
BS000097,109.2283003,23.0561338,365.80658,descend,S005,1,boundary
BS000098,109.2283003,23.0561338,365.80658,cruise,,1,boundary
BS000099,109.228753014,23.057129367,365.80658,cruise,,1,boundary
BS000100,109.228697896,23.053451846,361.138916,cruise,,1,boundary
BS000101,109.22632952,23.047354457,361.138916,cruise,,1,boundary
BS000102,109.224750602,23.043289532,361.138916,cruise,,1,boundary
BS000103,109.224677623,23.043101646,361.138916,cruise,,1,boundary
BS000104,109.22625654,23.047166571,361.138916,cruise,,1,boundary
BS000105,109.229019646,23.054280191,361.138916,cruise,,1,boundary
BS000106,109.226065159,23.052338652,416.7323,cruise,,1,boundary
BS000107,109.224388803,23.049492292,416.7323,cruise,,1,boundary
BS000108,109.224370152,23.049460624,416.7323,cruise,,1,boundary
BS000109,109.226046508,23.052306985,416.7323,cruise,,1,boundary
BS000110,109.2283003,23.0561338,366.7323,descend,S005,1,boundary
BS000111,109.214602586,23.045820249,517.147827,cruise,,1,boundary
BS000112,109.2283003,23.0561338,367.147827,descend,S005,1,boundary
BS000113,109.213777976,23.045199367,517.147827,cruise,,1,boundary
BS000114,109.226831759,23.05834113,366.78717,cruise,,1,boundary
BS000115,109.2283003,23.0561338,366.78717,descend,S005,1,boundary
BS000116,109.2283003,23.0561338,366.78717,cruise,,1,boundary
BS000117,109.227075556,23.057974684,366.78717,cruise,,1,boundary
BS000118,109.2283003,23.0561338,363.563202,cruise,,1,boundary
BS000119,109.228355162,23.056132028,363.563202,cruise,,1,boundary
BS000120,109.2283003,23.0561338,363.563202,descend,S005,1,boundary
BS000121,109.266078753,23.027051362,466.153259,cruise,,1,boundary
BS000122,109.266122443,23.027017729,466.153259,cruise,,1,boundary
BS000123,109.2283003,23.0561338,366.153259,descend,S005,1,boundary
BS000124,109.227960504,23.055100905,347.54892,cruise,,1,boundary
BS000125,109.227280912,23.053035115,347.54892,cruise,,1,boundary
BS000126,109.223882952,23.042706163,347.54892,cruise,,1,boundary
BS000127,109.224073356,23.043284947,347.54892,cruise,,1,boundary
BS000128,109.227471317,23.053613898,347.54892,cruise,,1,boundary
BS000129,109.228150909,23.055679688,347.54892,cruise,,1,boundary
BS000130,109.2283003,23.0561338,374.444458,cruise,,1,boundary
BS000131,109.236232219,23.051522772,374.444458,cruise,,1,boundary
BS000132,109.238215199,23.050370015,374.444458,cruise,,1,boundary
BS000133,109.240198179,23.049217258,374.444458,cruise,,1,boundary
BS000134,109.242181158,23.048064502,374.444458,cruise,,1,boundary
BS000135,109.244164138,23.046911745,374.444458,cruise,,1,boundary
BS000136,109.255070527,23.040571582,374.444458,cruise,,1,boundary
BS000137,109.256062017,23.039995203,374.444458,cruise,,1,boundary
BS000138,109.210772338,23.052874788,618.613342,cruise,,1,boundary
BS000139,109.2283003,23.0561338,368.613342,descend,S005,1,boundary
