task_id,cargo_pattern,n_boxes,total_mass_kg,total_volume_m3,end_SOC,has_hard_deadline,uav_type,n_stops,visit_order,duration_s,energy_kWh,latest_start_s,direct_time_s,outage_time_s,outage_ratio,gap_count,max_gap_s,min_margin_db,needs_relay
R068778,S007:[饮水:1] S013:[食品:1],2,22.0,0.055,0.288418,True,C,2,S007>S013,2417.840375139024,5.692658096456433,2486.3,1642.696868724751,775.1435064142731,0.3205933337802347,2,413.6066098135348,-1.7816933802026682,1
R068993,S014:[卫生:1] S007:[医疗:1],2,9.0,0.047,0.206026,True,C,2,S014>S007,2871.635111516309,6.351795286531318,2357.1,1814.9246430824053,1056.7104684339035,0.3679821521181808,2,629.1433114514818,-2.7488069776422748,1
R069009,S015:[卫生:1] S007:[饮水:1],2,20.0,0.062,0.465432,True,C,2,S015>S007,2216.478710697708,4.276543499968142,9596.4,1262.031065379941,954.4476453177664,0.4306143978334551,1,954.4476453177664,-3.666371127136273,1
R069023,S015:[食品:1] S007:[饮水:1],2,22.0,0.055,0.461675,True,C,2,S015>S007,2216.478710697708,4.306599778362673,9596.4,1262.031065379941,954.4476453177664,0.4306143978334551,1,954.4476453177664,-3.666371127136273,1
R069294,S007:[医疗:1|饮水:2|卫生:1] S015:[医疗:1|食品:1],6,48.0,0.141,0.417226,True,C,2,S007>S015,2480.478710697707,4.662194606785297,2258.3,1387.0326066780976,1093.4461040196093,0.4408205961630873,1,1093.4461040196093,-3.666371127136273,1
R069298,S007:[医疗:1|饮水:2|卫生:1] S015:[医疗:1|饮水:1|食品:1],7,62.0,0.168,0.36412,True,C,2,S007>S015,2546.478710697707,5.087040890956823,2228.3,1417.0326066780976,1129.4461040196093,0.4435325138493514,1,1129.4461040196093,-3.666371127136273,1
R069309,S015:[医疗:1|饮水:2|食品:1] S007:[医疗:1|食品:1],6,50.0,0.134,0.373196,True,C,2,S015>S007,2480.478710697708,5.01443376213982,1679.3,1382.031065379941,1098.4476453177665,0.4428369574713244,1,1098.4476453177665,-3.666371127136273,1
R069310,S007:[医疗:1|饮水:2|食品:1] S015:[医疗:1|饮水:1],6,56.0,0.133,0.390864,True,C,2,S007>S015,2480.478710697707,4.873088918164968,2258.3,1387.0326066780976,1093.4461040196093,0.4408205961630873,1,1093.4461040196093,-3.666371127136273,1
R069311,S015:[医疗:1|饮水:2|食品:1] S007:[医疗:1|饮水:1],6,56.0,0.133,0.349222,True,C,2,S015>S007,2480.478710697708,5.206222273202577,1679.3,1382.031065379941,1098.4476453177665,0.4428369574713244,1,1098.4476453177665,-3.666371127136273,1
R069312,S007:[医疗:1|饮水:2|食品:1] S015:[医疗:1|饮水:1|食品:1],7,64.0,0.161,0.355721,True,C,2,S007>S015,2546.478710697707,5.154228898886204,2228.3,1417.0326066780976,1129.4461040196093,0.4435325138493514,1,1129.4461040196093,-3.666371127136273,1
R069313,S015:[医疗:1|饮水:2|食品:1] S007:[医疗:1|饮水:1|食品:1],7,64.0,0.161,0.309072,True,C,2,S015>S007,2546.478710697708,5.5274278567666775,1613.3,1412.0310653799413,1134.447645317766,0.4454966148163633,1,1134.447645317766,-3.666371127136273,1
R069314,S007:[医疗:1|饮水:2|食品:1|卫生:1] S015:[食品:1],6,53.0,0.157,0.404327,True,C,2,S007>S015,2480.478710697707,4.765385152309387,2222.3,1387.0326066780976,1093.4461040196093,0.4408205961630873,1,1093.4461040196093,-3.666371127136273,1
R069315,S015:[医疗:1|饮水:2|食品:1|卫生:1] S007:[食品:1],6,53.0,0.157,0.355725,True,C,2,S015>S007,2480.478710697708,5.154201542196177,1679.3,1382.031065379941,1098.4476453177665,0.4428369574713244,1,1098.4476453177665,-3.666371127136273,1
R069326,S007:[医疗:1|饮水:2|食品:1|卫生:1] S015:[医疗:1|饮水:1|食品:1],8,70.0,0.196,0.326514,True,C,2,S007>S015,2612.478710697707,5.387886039967234,2162.3,1447.0326066780976,1165.4461040196093,0.446107407209591,1,1165.4461040196093,-3.666371127136273,1
R069344,S009:[食品:1] S008:[饮水:1],2,22.0,0.055,0.236695,True,C,2,S009>S008,2432.235417487036,6.106437018720488,9744.7,1119.4470299899167,1312.7883874971194,0.5397456093512036,1,1312.7883874971194,-6.237897062330717,1
R069363,S008:[饮水:1] S009:[食品:1],2,22.0,0.055,0.228292,True,C,2,S008>S009,2432.235417487036,6.17366180951762,5934.3,1092.3596883350976,1339.8757291519385,0.5508824185021884,1,1339.8757291519385,-6.237897062330717,1
R069365,S008:[饮水:1] S009:[饮水:1],2,28.0,0.054,0.209804,True,C,2,S008>S009,2432.235417487036,6.321565141257093,5934.3,1092.3596883350976,1339.8757291519385,0.5508824185021884,1,1339.8757291519385,-6.237897062330717,1
R069368,S008:[饮水:1] S009:[医疗:1],2,17.0,0.039,0.240628,True,C,2,S008>S009,2432.235417487036,6.074978651312318,5934.3,1092.3596883350976,1339.8757291519385,0.5508824185021884,1,1339.8757291519385,-6.237897062330717,1
R069453,S011:[卫生:1] S008:[食品:1],2,14.0,0.063,0.350059,False,C,2,S011>S008,2300.427513918611,5.199527754195049,,1596.0675020410788,704.3600118775323,0.3061865708073132,1,704.3600118775323,-6.238708362975757,1
R069454,S008:[卫生:1] S011:[饮水:1],2,20.0,0.062,0.324276,True,C,2,S008>S011,2300.427513918611,5.405792903910312,8804.5,1575.985447307601,724.4420666110104,0.3149162763129084,1,724.4420666110104,-6.238708362975757,1
R069455,S011:[卫生:1] S008:[饮水:1],2,20.0,0.062,0.34621,True,C,2,S011>S008,2300.427513918611,5.23031703912018,9927.5,1596.0675020410788,704.3600118775323,0.3061865708073132,1,704.3600118775323,-6.238708362975757,1
R069457,S011:[卫生:1] S008:[饮水:1|食品:1],3,28.0,0.09,0.339798,True,C,2,S011>S008,2366.427513918611,5.281613380863565,9861.5,1662.0675020410788,704.3600118775323,0.2976469837908407,1,704.3600118775323,-6.238708362975757,1
