task_id,gap_id,gap_index,tau_start,tau_end,duration_s,n_outage_samples
R002200,G001332,1,818.091,1752.27,934.179,97
R002204,G001333,1,818.091,1752.27,934.179,97
R002216,G001334,1,811.736,2210.281,1398.545,143
R002217,G001335,1,745.176,2129.51,1384.334,141
R002221,G001336,1,811.736,1575.668,763.931,78
R002222,G001337,1,1200.893,1947.388,746.495,76
R002223,G001338,1,811.736,1575.668,763.931,78
R002224,G001339,1,1200.893,1947.388,746.495,76
R002225,G001340,1,811.736,1575.668,763.931,78
R002226,G001341,1,1200.893,1947.388,746.495,76
R002227,G001342,1,811.736,1575.668,763.931,78
R002228,G001343,1,1200.893,1947.388,746.495,76
R002229,G001344,1,811.736,1575.668,763.931,78
R002230,G001345,1,1200.893,1947.388,746.495,76
R002231,G001346,1,811.736,1575.668,763.931,78
R002232,G001347,1,1200.893,1947.388,746.495,76
R002233,G001348,1,811.736,1575.668,763.931,78
R002234,G001349,1,1200.893,1947.388,746.495,76
R002235,G001350,1,811.736,1575.668,763.931,78
R002236,G001351,1,1200.893,1947.388,746.495,76
R002237,G001352,1,811.736,1575.668,763.931,78
R002238,G001353,1,1200.893,1947.388,746.495,76
R002239,G001354,1,841.736,1605.668,763.931,78
R002240,G001355,1,1260.893,2007.388,746.495,76
R002241,G001356,1,841.736,1605.668,763.931,78
R002242,G001357,1,1260.893,2007.388,746.495,76
R002243,G001358,1,841.736,1635.668,793.931,81
R002244,G001359,1,1230.893,2007.388,776.495,79
R002245,G001360,1,841.736,1635.668,793.931,81
R002246,G001361,1,1230.893,2007.388,776.495,79
R002247,G001362,1,841.736,1635.668,793.931,81
R002248,G001363,1,1230.893,2007.388,776.495,79
R002250,G001364,1,838.033,1547.195,709.162,72
R002250,G001365,2,1705.408,2325.232,619.823,63
R002252,G001366,1,838.033,1547.195,709.162,72
R002252,G001367,2,1705.408,2325.232,619.823,63
R002253,G001368,1,811.736,1438.329,626.592,64
R002253,G001369,2,1584.846,2299.872,715.026,73
R002263,G001370,1,792.646,1238.249,445.603,46
R002263,G001371,2,1308.249,1348.249,40.0,4
R002263,G001372,3,1448.249,1951.877,503.628,53
R002265,G001373,1,792.646,1238.249,445.603,46
R002265,G001374,2,1308.249,1348.249,40.0,4
R002265,G001375,3,1448.249,1951.877,503.628,53
R002266,G001376,1,745.176,1241.676,496.5,51
R002266,G001377,2,1341.676,1381.676,40.0,4
R002266,G001378,3,1451.676,1893.6,441.924,46
R002267,G001379,1,792.646,1238.249,445.603,46
R002267,G001380,2,1308.249,1348.249,40.0,4
R002267,G001381,3,1448.249,1951.877,503.628,53
R002270,G001382,1,745.176,1241.676,496.5,51
R002270,G001383,2,1341.676,1381.676,40.0,4
R002270,G001384,3,1451.676,1893.6,441.924,46
R002271,G001385,1,792.646,1238.249,445.603,46
R002271,G001386,2,1308.249,1348.249,40.0,4
R002271,G001387,3,1448.249,1951.877,503.628,53
R002273,G001388,1,792.646,1238.249,445.603,46
R002273,G001389,2,1308.249,1348.249,40.0,4
R002273,G001390,3,1448.249,1951.877,503.628,53
R002275,G001391,1,792.646,1238.249,445.603,46
R002275,G001392,2,1308.249,1348.249,40.0,4
R002275,G001393,3,1448.249,1951.877,503.628,53
R002287,G001394,1,1078.477,1644.397,565.92,59
R002289,G001395,1,1078.477,1644.397,565.92,59
R002290,G001396,1,745.176,1315.913,570.737,58
R002294,G001397,1,745.176,1315.913,570.737,58
R002305,G001398,1,1108.477,1704.397,595.92,62
R002311,G001399,1,785.2,1982.944,1197.743,123
R002313,G001400,1,785.2,1982.944,1197.743,123
R002314,G001401,1,745.176,1935.268,1190.091,122
R002315,G001402,1,785.2,1982.944,1197.743,123
R002317,G001403,1,785.2,1982.944,1197.743,123
R002318,G001404,1,745.176,1935.268,1190.091,122
R002319,G001405,1,785.2,1982.944,1197.743,123
R002321,G001406,1,785.2,1982.944,1197.743,123
R002335,G001407,1,780.494,1736.63,956.136,98
R002337,G001408,1,780.494,1736.63,956.136,98
R002338,G001409,1,745.176,1697.08,951.903,97
R002339,G001410,1,780.494,1736.63,956.136,98
R002342,G001411,1,745.176,1697.08,951.903,97
R002343,G001412,1,780.494,1736.63,956.136,98
R002345,G001413,1,780.494,1736.63,956.136,98
R002361,G001414,1,745.176,1234.948,489.772,50
R002361,G001415,2,1484.948,2203.718,718.77,74
R002362,G001416,1,844.749,1559.295,714.546,73
R002362,G001417,2,1809.295,2317.225,507.93,52
R002364,G001418,1,844.749,1559.295,714.546,73
R002364,G001419,2,1809.295,2317.225,507.93,52
R002374,G001420,1,838.033,1424.487,586.454,60
R002374,G001421,2,1793.881,2285.888,492.007,51
R002376,G001422,1,745.176,1224.8,479.623,49
R002376,G001423,2,1594.8,2179.758,584.958,60
R002386,G001424,1,1348.935,1739.946,391.01,40
R002388,G001425,1,1348.935,1739.946,391.01,40
R002389,G001426,1,792.646,1192.944,400.299,41
R002390,G001427,1,1348.935,1739.946,391.01,40
R002391,G001428,1,792.646,1192.944,400.299,41
R002392,G001429,1,1348.935,1739.946,391.01,40
R002397,G001430,1,792.646,1192.944,400.299,41
R002410,G001431,1,785.2,2026.775,1241.574,127
R002413,G001432,1,792.646,2037.375,1244.73,128
R002431,G001433,1,792.646,1577.341,784.696,82
R002432,G001434,1,780.494,1558.615,778.121,81
R002433,G001435,1,792.646,1577.341,784.696,82
R002434,G001436,1,780.494,1558.615,778.121,81
R002435,G001437,1,792.646,1577.341,784.696,82
R002436,G001438,1,780.494,1558.615,778.121,81
R002437,G001439,1,792.646,1577.341,784.696,82
R002438,G001440,1,780.494,1558.615,778.121,81
R002439,G001441,1,792.646,1577.341,784.696,82
R002440,G001442,1,780.494,1558.615,778.121,81
R002441,G001443,1,792.646,1577.341,784.696,82
R002442,G001444,1,780.494,1558.615,778.121,81
R002443,G001445,1,792.646,1577.341,784.696,82
R002444,G001446,1,780.494,1558.615,778.121,81
R002445,G001447,1,792.646,1577.341,784.696,82
R002446,G001448,1,780.494,1558.615,778.121,81
R002448,G001449,1,810.494,1618.615,808.121,84
R002451,G001450,1,822.646,1637.341,814.696,85
R002452,G001451,1,810.494,1618.615,808.121,84
R002453,G001452,1,822.646,1637.341,814.696,85
R002454,G001453,1,810.494,1618.615,808.121,84
R002455,G001454,1,792.646,1747.923,955.277,99
R002456,G001455,1,844.749,1803.153,958.404,99
R002457,G001456,1,792.646,1747.923,955.277,99
R002458,G001457,1,844.749,1803.153,958.404,99
R002459,G001458,1,792.646,1747.923,955.277,99
R002460,G001459,1,844.749,1803.153,958.404,99
R002461,G001460,1,792.646,1747.923,955.277,99
R002463,G001461,1,792.646,1747.923,955.277,99
R002464,G001462,1,844.749,1803.153,958.404,99
R002465,G001463,1,792.646,1747.923,955.277,99
R002466,G001464,1,844.749,1803.153,958.404,99
R002467,G001465,1,792.646,1747.923,955.277,99
R002468,G001466,1,844.749,1803.153,958.404,99
R002469,G001467,1,792.646,1747.923,955.277,99
R002470,G001468,1,844.749,1803.153,958.404,99
R002471,G001469,1,822.646,1807.923,985.277,102
R002472,G001470,1,874.749,1863.153,988.404,102
R002473,G001471,1,822.646,1807.923,985.277,102
R002474,G001472,1,874.749,1863.153,988.404,102
R002475,G001473,1,822.646,1807.923,985.277,102
R002479,G001474,1,1173.404,1233.404,60.0,6
R002479,G001475,2,1253.404,1273.404,20.0,2
R002479,G001476,3,1323.404,2078.948,755.544,77
R002480,G001477,1,785.2,1552.021,766.821,78
