pattern_id,uav_type,n_stops,visit_order,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,has_hard_deadline,latest_start_s
P017665,C,2,S008>S005,6,53.0,0.157,6.365963979258736,2578.5399213047053,0.20425450259265798,True,8726.8473990132
P017666,C,2,S005>S008,6,53.0,0.157,6.032629946904368,2578.5399213047053,0.24592125663695397,True,5325.499276653962
P017667,C,2,S008>S005,6,53.0,0.157,6.365963979258736,2578.5399213047053,0.20425450259265798,True,5742.280802041333
P017668,C,2,S005>S008,4,28.0,0.079,5.420794039699296,2446.5399213047053,0.322400745037588,True,5457.499276653962
P017669,C,2,S008>S005,4,28.0,0.079,5.634933103795985,2446.5399213047053,0.29563336202550183,True,5874.280802041333
P017670,C,2,S005>S008,5,42.0,0.10600000000000001,5.704479349503765,2512.5399213047053,0.2869400813120294,True,5391.499276653962
P017671,C,2,S008>S005,5,42.0,0.10600000000000001,5.977559856494629,2512.5399213047053,0.25280501793817134,True,5808.280802041333
P017672,C,2,S005>S008,6,56.0,0.133,6.1430848559607565,2578.5399213047053,0.23211439300490544,True,5325.499276653962
P017673,C,2,S005>S008,6,48.0,0.14100000000000001,5.8698617693889386,2578.5399213047053,0.2662672788263827,True,5325.499276653962
P017674,C,2,S008>S005,6,48.0,0.14100000000000001,6.17324592101956,2578.5399213047053,0.22834425987255502,True,5742.280802041333
P017675,C,2,S005>S008,6,48.0,0.14100000000000001,5.8698617693889386,2578.5399213047053,0.2662672788263827,True,5325.499276653962
P017676,C,2,S008>S005,6,48.0,0.14100000000000001,6.17324592101956,2578.5399213047053,0.22834425987255502,True,5742.280802041333
P017677,C,2,S005>S008,7,62.0,0.16799999999999998,6.398645759207108,2644.5399213047053,0.2001692800991115,True,5259.499276653962
P017678,C,2,S005>S008,6,50.0,0.134,5.93200048752042,2578.5399213047053,0.2584999390599475,True,5325.499276653962
P017679,C,2,S008>S005,6,50.0,0.134,6.246759880904423,2578.5399213047053,0.2191550148869471,True,5742.280802041333
