from,to,distance,h_max,cruise_height,climb_height,descent_height
S005,S014,8005.222170551042,499.14068603515625,549.1406860351562,354.14068603515625,198.14068603515625
S005,S015,3749.6273030530915,436.229248046875,486.229248046875,291.229248046875,11.729248046875
S006,O01,3181.0289144316203,275.1272277832031,325.1272277832031,10.327227783203114,197.42722778320314
S006,S001,5296.389689052462,361.0657653808594,411.0657653808594,96.26576538085936,227.06576538085938
S006,S002,9199.75149792535,343.98626708984375,393.98626708984375,79.18626708984374,174.48626708984375
S006,S003,4808.568012109442,632.5165405273438,682.5165405273438,367.71654052734374,344.01654052734375
S006,S004,8731.247626205603,343.9356384277344,393.9356384277344,79.13563842773436,165.63563842773436
S006,S005,6124.005239420578,343.9356384277344,393.9356384277344,79.13563842773436,198.93563842773438
S006,S007,2516.4898859990676,506.5129089355469,556.5129089355469,241.71290893554686,208.01290893554688
S006,S008,8092.942164777616,319.04754638671875,369.04754638671875,54.24754638671874,98.14754638671877
S006,S009,7677.209169122411,350.46759033203125,400.46759033203125,85.66759033203124,170.46759033203125
S006,S010,7909.585429221888,510.1105651855469,560.1105651855469,245.31056518554686,208.51056518554685
S006,S011,3416.1902281569105,341.0712890625,391.0712890625,76.27128906249999,178.9712890625
S006,S012,9988.826408304783,375.2806396484375,425.2806396484375,110.48063964843749,145.4806396484375
S006,S013,7774.922470685925,480.896728515625,530.896728515625,216.096728515625,179.196728515625
S006,S014,8582.826645617135,320.9825134277344,370.9825134277344,56.182513427734364,19.982513427734375
S006,S015,4702.818713985765,465.7823791503906,515.7823791503906,200.9823791503906,41.282379150390625
S007,O01,4533.821635606341,597.7623291015625,647.7623291015625,299.2623291015625,520.0623291015625
S007,S001,5179.657800128225,367.77001953125,417.77001953125,69.27001953125,233.77001953125
S007,S002,8119.467045487778,580.47021484375,630.47021484375,281.97021484375,410.97021484375
S007,S003,2732.819379995153,503.26019287109375,553.2601928710938,204.76019287109375,214.76019287109375
S007,S004,7107.951861397632,501.8207092285156,551.8207092285156,203.32070922851562,323.5207092285156
S007,S005,4690.978012733275,540.2982788085938,590.2982788085938,241.79827880859375,395.29827880859375
S007,S006,2516.4898859990676,391.1376953125,441.1376953125,92.6376953125,126.33769531249999
S007,S008,5931.502490714411,420.0450439453125,470.0450439453125,121.5450439453125,199.14504394531252
S007,S009,6903.234859610077,587.1497192382812,637.1497192382812,288.64971923828125,407.14971923828125
S007,S010,8586.756825273913,496.6688537597656,546.6688537597656,198.16885375976562,195.0688537597656
S007,S011,2829.56174155148,367.77001953125,417.77001953125,69.27001953125,205.67001953125
S007,S012,9652.022157307281,568.2607421875,618.2607421875,269.7607421875,338.4607421875
S007,S013,8041.876633215178,358.60723876953125,408.60723876953125,60.10723876953125,56.90723876953126
S007,S014,9672.514871591644,509.8681945800781,559.8681945800781,211.36819458007812,208.86819458007812
S007,S015,2228.379705571588,436.229248046875,486.229248046875,137.729248046875,11.729248046875
S008,O01,8109.461983662226,323.0506286621094,373.0506286621094,102.1506286621094,245.3506286621094
S008,S001,5983.170216573233,349.1777038574219,399.1777038574219,128.2777038574219,215.17770385742188
S008,S002,4795.75091995656,314.31085205078125,364.31085205078125,93.41085205078127,144.81085205078125
S008,S003,6261.086594538331,717.08740234375,767.08740234375,496.18740234375,428.58740234375
S008,S004,2607.406751047093,257.76654052734375,307.76654052734375,36.86654052734377,79.46654052734374
S008,S005,3047.7742448848744,313.5459289550781,363.5459289550781,92.64592895507815,168.54592895507812
S008,S006,8092.942164777616,342.888427734375,392.888427734375,121.98842773437502,78.08842773437499
S008,S007,5931.502490714411,480.8521423339844,530.8521423339844,259.9521423339844,182.35214233398438
S008,S009,5018.255609500637,318.2400207519531,368.2400207519531,97.34002075195315,138.24002075195312
S008,S010,9305.006857995599,377.755859375,427.755859375,156.85585937500002,76.15585937499998
S008,S011,5348.220405213765,274.99462890625,324.99462890625,54.09462890625002,112.89462890625
S008,S012,7720.902518300755,331.659912109375,381.659912109375,110.75991210937502,101.85991210937499
S008,S013,8061.2465970954945,321.70806884765625,371.70806884765625,100.80806884765627,20.00806884765626
S008,S014,10991.62867899915,427.1307678222656,477.1307678222656,206.23076782226565,126.13076782226562
S008,S015,3938.556255192018,722.8712768554688,772.8712768554688,501.9712768554688,298.37127685546875
S009,O01,5722.672488722757,296.1680908203125,346.1680908203125,116.1680908203125,218.4680908203125
S009,S001,2659.297911633031,245.7126922607422,295.7126922607422,65.71269226074219,111.71269226074219
S009,S002,1730.8827143173448,242.0653839111328,292.0653839111328,62.06538391113281,72.56538391113281
S009,S003,8884.798812209401,308.51068115234375,358.51068115234375,128.51068115234375,20.01068115234375
S009,S004,2992.117958428195,287.1365051269531,337.1365051269531,107.13650512695312,108.83650512695311
S009,S005,2645.6165640723684,209.59786987304688,259.5978698730469,29.597869873046875,64.59786987304688
S009,S006,7677.209169122411,275.1272277832031,325.1272277832031,95.12722778320312,10.327227783203114
S009,S007,6903.234859610077,314.2220458984375,364.2220458984375,134.2220458984375,15.7220458984375
S009,S008,5018.255609500637,248.2891845703125,298.2891845703125,68.2891845703125,27.389184570312523
S009,S010,4576.424241271918,404.52703857421875,454.52703857421875,224.52703857421875,102.92703857421873
S009,S011,4326.917456853088,220.93392944335938,270.9339294433594,40.933929443359375,58.83392944335938
