type,service,N_f,E_total,T_total,batch_idx,n_boxes,mass,volume,energy_kWh,time_s
B,S002,4,10.306789593172638,7435.013283863812,8,2,20.0,0.062,2.5638991989315296,1858.753320965953
B,S002,4,10.306789593172638,7435.013283863812,15,2,22.0,0.055,2.6335193432174435,1858.753320965953
B,S002,4,10.306789593172638,7435.013283863812,21,2,22.0,0.055,2.6335193432174435,1858.753320965953
B,S003,4,10.154680211785246,7565.320130956636,33,2,17.0,0.039,2.4399808281032325,1891.330032739159
B,S003,4,10.154680211785246,7565.320130956636,8,2,20.0,0.062,2.5261558385892533,1891.330032739159
B,S003,4,10.154680211785246,7565.320130956636,15,2,22.0,0.055,2.59427177254638,1891.330032739159
B,S003,4,10.154680211785246,7565.320130956636,21,2,22.0,0.055,2.59427177254638,1891.330032739159
B,S004,3,7.897251228014297,5491.453885577351,17,2,17.0,0.039,2.5477142102787163,1830.4846285257836
B,S004,3,7.897251228014297,5491.453885577351,5,2,20.0,0.062,2.6387382796574057,1830.4846285257836
B,S004,3,7.897251228014297,5491.453885577351,9,2,22.0,0.055,2.710798738078175,1830.4846285257836
B,S005,3,5.35947002541312,4175.585527132049,17,2,17.0,0.039,1.728739912020953,1391.8618423773496
B,S005,3,5.35947002541312,4175.585527132049,5,2,20.0,0.062,1.7907881825779608,1391.8618423773496
B,S005,3,5.35947002541312,4175.585527132049,9,2,22.0,0.055,1.8399419308142058,1391.8618423773496
B,S006,3,3.331283789330759,3439.471368018742,17,2,17.0,0.039,1.0743403471560415,1146.4904560062473
B,S006,3,3.331283789330759,3439.471368018742,5,2,20.0,0.062,1.113186623309613,1146.4904560062473
B,S006,3,3.331283789330759,3439.471368018742,9,2,22.0,0.055,1.1437568188651044,1146.4904560062473
B,S007,2,3.405030301473223,3194.8361861616913,8,3,25.0,0.067,1.7628734754710367,1627.4180930808457
B,S007,2,3.405030301473223,3194.8361861616913,4,2,20.0,0.062,1.6421568260021862,1567.4180930808457
B,S008,2,5.7101177583093925,3762.541588384146,8,3,25.0,0.067,2.960630550069152,1911.270794192073
B,S008,2,5.7101177583093925,3762.541588384146,4,2,20.0,0.062,2.7494872082402404,1851.270794192073
B,S009,1,2.130236530099273,1631.3782951272271,2,3,25.0,0.067,2.130236530099273,1631.3782951272271
B,S010,1,1.804912115129597,1524.547034583411,2,3,25.0,0.067,1.804912115129597,1524.547034583411
B,S011,1,1.0542701525007734,1132.6456889753713,2,3,25.0,0.067,1.0542701525007734,1132.6456889753713
B,S012,1,2.7498930409760503,1917.9408462029787,2,3,25.0,0.067,2.7498930409760503,1917.9408462029787
